symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
2383.TW,Elite Material Co. Ltd.,Taiwan,Electronic Components,4425,1133,333,"332,918,016",TWD,[tech-100],
3707.TWO,Episil Technologies Inc.,Taiwan,Semiconductors,747,263,333,"333,216,000",TWD,[],
3405.TSE,Kuraray Co. Ltd.,Japan,Commodity Chemicals,4032,5390,335,"334,758,016",JPY,[],
3056.TW,Fu Hua Innovation Co. Ltd.,Taiwan,Real Estate Development,301,238,342,"342,276,000",TWD,[],
6473.TSE,JTEKT Corporation,Japan,Automotive Parts and Equipment,3286,12118,343,"342,974,016",JPY,[],
6113.TSE,Amada Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,3494,2616,346,"343,828,992",JPY,[],
2035.TWO,Tang Eng Iron Works Co. Ltd.,Taiwan,Steel,348,395,350,"350,000,000",TWD,[],
3436.TSE,Sumco Corporation,Japan,Semiconductor Materials and Equipment,4554,3142,350,"350,167,008",JPY,[tech-100,semiconductors-25]
2049.TW,Hiwin Technologies Corporation,Taiwan,Industrial Machinery and Supplies and Components,2236,829,354,"353,792,000",TWD,[],
2009.TW,First Copper Technology Co. Ltd.,Taiwan,Copper,328,83,360,"359,622,016",TWD,[],
9504.TSE,The Chugoku Electric Power Co. Inc.,Japan,Electric Utilities,2318,12318,360,"360,249,984",JPY,[],
2832.TW,Taiwan Fire & Marine Insurance Co. Ltd.,Taiwan,Property and Casualty Insurance,263,203,362,"362,200,000",TWD,[],
6213.TW,ITEQ Corporation,Taiwan,Electronic Components,1028,799,363,"362,956,992",TWD,[tech-100],
1604.TW,Sampo Corporation,Taiwan,Consumer Electronics,322,286,364,"363,768,000",TWD,[consumer-50],
1442.TW,Advancetek Enterprise Co.Ltd.,Taiwan,Real Estate Development,408,75,366,"366,212,000",TWD,[],
2433.TSE,Hakuhodo DY Holdings Inc,Japan,Advertising,2998,6895,367,"366,920,000",JPY,[],
2704.TW,The Ambassador HotelLtd.,Taiwan,Hotels Resorts and Cruise Lines,587,46,367,"366,923,008",TWD,[],
2524.TW,King's Town Construction Co. Ltd.,Taiwan,Real Estate Development,357,79,369,"369,419,008",TWD,[],
1532.TW,China Metal Products Co. Ltd.,Taiwan,Steel,415,466,376,"376,124,992",TWD,[],
2528.TW,Crowell Development Corp.,Taiwan,Diversified Real Estate Activities,340,78,380,"379,996,992",TWD,[],
2481.TW,Panjit International Inc.,Taiwan,Semiconductors,760,399,382,"382,115,008",TWD,[],
3017.TW,Asia Vital Components Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,4059,1808,383,"383,310,016",TWD,[],
